ID;Название;Web-анонс;Web-название;Web-описание
238508;WEICON HB 300 (1 кг) Металло-пластик наполненный сталью;"Применение: изношенные корпуса насосов, задвижек, трубопроводов; изношенные корпуса, валы, посадочные места под подшипники; сорванные резьбовые соединения и т.д.";WEICON HB 300 (1 кг) Металло-пластик наполненный сталью;"&lt;p&gt;&lt;strong&gt; &lt;/strong&gt;&lt;strong style=&quot;font-size: 11.8181819915771px; line-height: 1.3em;&quot;&gt;Экономическая выгода от применения:&lt;/strong&gt;&lt;/p&gt;
&lt;ul style=&quot;list-style-type: disc;&quot;&gt;
&lt;li&gt;Ремонт без демонтажа оборудования;&lt;/li&gt;
&lt;li&gt;Ремонт без простоев за 24 часа;&lt;/li&gt;
&lt;li&gt;Ремонт прост и безопасен (возможность проведения собственными силами);&lt;/li&gt;
&lt;li&gt;Ремонт экономичен (1-10% от стоимости нового оборудования).&lt;/li&gt;
&lt;/ul&gt;"
238509;WEICON F (0,5 кг) Эпоксидный композит пастообразный, наполненный алюминием;WEICON F (0,5 кг) Эпоксидный композит пастообразный, наполненный алюминием;WEICON F (0,5 кг) Эпоксидный композит пастообразный, наполненный алюминием;WEICON F предназначен для ремонта и восстановления деталей из алюминия, его сплавов, магния и других легких металлов. Состав используется для заполнения отверстий в отливках из легких металлов, для восстановления деталей в инструментальном производстве, при изготовлении моделей и форм, для ремонта широкого профиля.
238510;WEICON Ремонтный стик Алюминий (57 г);Не подверженный ржавчине специальный двухкомпонентный состав. Идеально подходит в качестве универсального клеящего материала для мелкого ремонта. Прост в применении и долговечен.;WEICON Ремонтный стик Алюминий (57 г);"&lt;p style=&quot;text-align: justify;&quot;&gt;Холодная сварка в виде толстой короткой палки - &quot;стика&quot;. Не подверженный ржавчине специальный двухкомпонентный состав. Идеально подходит в качестве универсального клеящего материала для мелкого ремонта. Прост в применении и долговечен.&lt;/p&gt;"
238511;WEICON BR (0,5 кг) Эпоксидный композит пастообразный, наполненный бронзой;"Применение: изношенные корпуса насосов, задвижек, трубопроводов; изношенные корпуса, валы, посадочные места под подшипники; сорванные резьбовые соединения и т.д.";WEICON BR (0,5 кг) Эпоксидный композит пастообразный, наполненный бронзой;"&lt;p&gt;&lt;strong&gt; &lt;/strong&gt;&lt;strong style=&quot;font-size: 11.8181819915771px; line-height: 1.3em;&quot;&gt;Экономическая выгода от применения:&lt;/strong&gt;&lt;/p&gt;
&lt;ul style=&quot;list-style-type: disc;&quot;&gt;
&lt;li&gt;Ремонт без демонтажа оборудования;&lt;/li&gt;
&lt;li&gt;Ремонт без простоев за 24 часа;&lt;/li&gt;
&lt;li&gt;Ремонт прост и безопасен (возможность проведения собственными силами);&lt;/li&gt;
&lt;li&gt;Ремонт экономичен (1-10% от стоимости нового оборудования).&lt;/li&gt;
&lt;/ul&gt;"
238512;WEICON Клей-спрей сильной фиксации (500 мл);Предназначен для склеивания больших поверхностей из легких материалов: бумага, текстиль, ковролин, кожа и т.д.;WEICON Клей-спрей сильной фиксации (500 мл);"&lt;p&gt;&lt;strong&gt;WEICON Клей-спрей&lt;/strong&gt; сильной, средней и многократной фиксации.&lt;/p&gt;
&lt;p&gt;Быстрый и удобный в работе клей-аэрозоль для склеивания больших поверхностей из легких материалов: бумага, текстиль, ковролин, кожа и т.д.&lt;/p&gt;
&lt;p&gt;Основа – синтетический каучук.&lt;/p&gt;"
238513;WEICON Клей-спрей многократной фиксации (500 мл);Предназначен для склеивания больших поверхностей из легких материалов: бумага, текстиль, ковролин, кожа и т.д.;WEICON Клей-спрей многократной фиксации (500 мл);"&lt;p&gt;&lt;strong&gt;WEICON Клей-спрей&lt;/strong&gt; сильной, средней и многократной фиксации.&lt;/p&gt;
&lt;p&gt;Быстрый и удобный в работе клей-аэрозоль для склеивания больших поверхностей из легких материалов: бумага, текстиль, ковролин, кожа и т.д.&lt;/p&gt;
&lt;p&gt;Основа – синтетический каучук.&lt;/p&gt;"
238514;WEICON Смола для литья MS 1000 (1 кг);WEICON Смола для литья MS 1000 (1 кг);WEICON Смола для литья MS 1000 (1 кг);"&lt;p&gt;&lt;strong&gt;&lt;img src=&quot;images/products/weicon/metal_WR.jpg&quot; alt=&quot;&quot; width=&quot;409&quot; height=&quot;279&quot; style=&quot;float: left; margin: 0 20px 10px 0;&quot; /&gt;&lt;/strong&gt;&lt;/p&gt;&lt;p&gt;&lt;strong&gt;Основные преимущества:&lt;/strong&gt;&lt;/p&gt;&lt;ul style=&quot;list-style-type: square;&quot;&gt;&lt;li&gt;Высокая адгезия кметаллам;&lt;/li&gt;&lt;li&gt;Не дает усадку и практически не изменяется в объемах после полимеризации;&lt;/li&gt;&lt;li&gt;Устойчивы к температурам от – 35 до +220 С;&lt;/li&gt;&lt;li&gt;Высокая стойкость к агрессивным средам;&lt;/li&gt;&lt;li&gt;Изготовление &lt;span&gt;форм, моделей, &lt;/span&gt;инструментов,подвижных соединений;&lt;/li&gt;&lt;li&gt;Изготовление фундаментных подкладок с высокими нагрузками;&lt;/li&gt;&lt;li&gt;Исправление дефектов лития;&lt;/li&gt;&lt;li&gt;Отлив моделей, форм и шаблонов;&lt;/li&gt;&lt;li&gt;Изготовление прототипов, устройств крепления.&lt;/li&gt;&lt;/ul&gt;&lt;p&gt;&lt;strong&gt; &lt;/strong&gt;&lt;/p&gt;"
238515;WEICON Уретан 45 (0,5 кг) Прочный резиновый компаунд для эластичного покрытия, основа полиуретан, тв;WEICON Уретан 45 (0,5 кг) Прочный резиновый компаунд для эластичного покрытия, основа полиуретан, твердость: А45. Бежевый;WEICON Уретан 45 резиновый компаунд для эластичного покрытия, бежевый;Urethan 45 это жидкая смола на основе полиуретана для эластичного литья и для создания защитных покрытий. Обеспечивает высокую ударопрочность и износостойкость, обладает температурной устойчивостью от -60°C до +90°C.  Склеивается с металлами, бетоном, резиной, деревом, стекловолокном и другими материалами.
238516;WEICON WP (2 кг) Пастообразный композит с керамическим наполнением;WEICON WP (2 кг) Пастообразный композит с керамическим наполнением;WEICON WP (2 кг) Пастообразный композит с керамическим наполнением;"WEICON WP – двухкомпонентная эпоксидная смола с керамическим наполнением для защиты металлических поверхностей от абразивных сред. Отличается высокой прочностью к износу, истиранию и высокой химической устойчивостью.

WEICON WP предотвращает истирание металла, используется для восстановления изношенных металлических поверхностей или для создания износоустойчивого покрытия. Может заменить все другие износостойкие смеси: облицовку резиной, керамической плиткой и даже металлическую обшивку."
238517;WEICON Ремонтный стик Нержавеющая сталь (57 г);Не подверженный ржавчине специальный двухкомпонентный состав. Идеально подходит в качестве универсального клеящего материала для мелкого ремонта. Прост в применении и долговечен.;WEICON Ремонтный стик Нержавеющая сталь (57 г);"&lt;p style=&quot;text-align: justify;&quot;&gt;Холодная сварка в виде толстой короткой палки - &quot;стика&quot;. Не подверженный ржавчине специальный двухкомпонентный состав. Идеально подходит в качестве универсального клеящего материала для мелкого ремонта. Прост в применении и долговечен.&lt;/p&gt;"
238518;WEICON HP (0,5 кг) Эпоксидный композит с минеральным наполнением, ударопрочный с высокой стойкостью ; Эпоксидный композит с минеральным наполнением, ударопрочный с высокой стойкостью к истиранию;WEICON HP (0,5 кг) Эпоксидный композит с минеральным наполнением;"&lt;p style=&quot;text-align: justify;&quot;&gt;WEICON HP – практически безусадочная 2-компонентная эпоксидная смола с чрезвычайно высокой ударопрочностью и высокой стойкостью к истиранию, минеральный наполнитель.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Металлополимер WEICON HP может использоваться в качестве высокоэффективного решения для структурных клеевых соединений. Благодаря высокому показателю растяжения без разрыва, WEICON HP также можно использовать для ремонта на сильно вибрирующих машинах, в качестве защиты от износа для подшипников скольжения, желобов и труб, а также для облицовки корпусов насосов с высокой нагрузкой.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;Металлополимер WEICON HP можно использовать практически на всех поверхностях. Его пастообразная текстура облегчает нанесение на сложных и вертикальных поверхностях. WEICON HP может использоваться в машиностроении и автопроме, в приборостроении и во многих других отраслях промышленности.&lt;/p&gt;"
238562;WEICON Лак-фиксатор для болтов (30г) желтый;Лак-фиксатор предотвращает отвинчивание соединений и используется в качестве мягкой пломбы для защиты от несанкционированного доступа.;WEICON Лак-фиксатор для болтов (30г) желтый;"&lt;p style=&quot;text-align: justify;&quot;&gt;&lt;span style=&quot;color: #3366ff;&quot;&gt;&lt;strong&gt;Threadlocking Varnish&lt;/strong&gt;&lt;/span&gt; – лак-фиксатор для завинченных соединений на основе растворителя. Лак предотвращает отвинчивание соединений и используется в качестве мягкой пломбы для защиты от несанкционированного доступа.&lt;/p&gt;
&lt;p style=&quot;text-align: justify;&quot;&gt;&lt;span style=&quot;color: #33cccc;&quot;&gt;&lt;strong&gt;Лак-фиксатор&lt;/strong&gt;&lt;/span&gt; устойчив к воде, бензину, дизельному топливу, минеральному маслу, разбавленным кислотам и щелочам. Обладает хорошей адгезией ко многим материалам.&lt;/p&gt;"
238563;WEICONLOCK AN 301-48 Фиксатор цилиндрических узлов (20 мл) разрешен к применению в пищевой и фармаце;Все продукты этой категории прошли специальную сертификацию NSF, подтверждающую безопасность их применения в пищевой промышленности.;WEICONLOCK AN 301-48 Фиксатор цилиндрических узлов (20 мл);Все продукты этой категории прошли специальную сертификацию NSF, подтверждающую безопасность их применения в пищевой промышленности.
238564;WEICONLOCK AN 301-38 Фиксатор цилиндрических узлов (20 мл) Высокая прочность, средняя вязкость, макс;Все продукты этой категории прошли специальную сертификацию NSF, подтверждающую безопасность их применения в пищевой промышленности.;WEICONLOCK AN 301-38 Фиксатор цилиндрических узлов (20 мл);Все продукты этой категории прошли специальную сертификацию NSF, подтверждающую безопасность их применения в пищевой промышленности.
238565;WEICONLOCK AN 301-65 Герметизация труб и фланцев (50 мл) с PTFE, разрешен к применению в пищевой и ф;Все продукты этой категории прошли специальную сертификацию NSF, подтверждающую безопасность их применения в пищевой промышленности.;WEICONLOCK AN 301-65 Герметизация труб и фланцев (50 мл);Все продукты этой категории прошли специальную сертификацию NSF, подтверждающую безопасность их применения в пищевой промышленности.
238566;WEICONLOCK AN 301-72 Герметизация труб и фланцев (50 мл) с PTFE, разрешен к применению в пищевой и ф;Все продукты этой категории прошли специальную сертификацию NSF, подтверждающую безопасность их применения в пищевой промышленности.;WEICONLOCK AN 301-72 Герметизация труб и фланцев (50 мл);Все продукты этой категории прошли специальную сертификацию NSF, подтверждающую безопасность их применения в пищевой промышленности.
238567;WEICONLOCK AN 301-70 Фиксатор резьбы (20 мл) разрешен к применению в пищевой и фармацевтической пром;Все продукты этой категории прошли специальную сертификацию NSF, подтверждающую безопасность их применения в пищевой промышленности.;WEICONLOCK AN 301-70 Фиксатор резьбы (20 мл);Все продукты этой категории прошли специальную сертификацию NSF, подтверждающую безопасность их применения в пищевой промышленности.
238568;WEICONLOCK AN 301-43 Фиксатор резьбы (20 мл) разрешен к применению в пищевой и фармацевтической пром;Все продукты этой категории прошли специальную сертификацию NSF, подтверждающую безопасность их применения в пищевой промышленности.;WEICONLOCK AN 301-43 Фиксатор резьбы (20 мл);Все продукты этой категории прошли специальную сертификацию NSF, подтверждающую безопасность их применения в пищевой промышленности.
238569;WEICON Уретан 90 SF (550 г);WEICON Уретан 90 SF (550 г);WEICON Уретан 90 SF;Быстротвердеющий, практически без усадки, и самовыравнивающийся состав с высокой химической стойкостью. Предназначен для затирки швов, подходит для заливки грунтовых анкеров, датчиков, фиксирующих устройств или маркировка положения для лазерного измерения. Хорошая адгезия к различным материалам, таких как: металл, бетон, резина, дерево, стекловолокно.
245545;Интегрируемый маркиратор e10-i124s-30, окно 120х60мм, прочерчивание, поршень d=30мм;Интегрируемый маркиратор e10-i124s-30, окно 120х60мм, прочерчивание, поршень d=30мм;Интегрируемый маркиратор e10-i124s-30, окно 120х60мм, прочерчивание, поршень d=30мм;"Маркиратор i124s разработан для интеграции в автоматизированные линии и рекомендуется для нанесения чёткой маркировки, требующей последующего оптического считывания.
Маркировочное окно i124s позволяет разместить больше информации на маркируемой детали или увеличить размер символов для лучшей читаемости маркировки.
Защита механических узлов и электронных компонентов позволяет интегрировать i124s на самые сложные производственные участки и обеспечивает высокую надежность работы оборудования.
Является стандартом нанесения VIN для групп Renault-Nissan и PSA (Citroën, Peugeot, Mitsubishi и др.)."
